data,temperatura,quantidade_vendida
2023-01-27,27.6,22
2023-01-27,35.0,18
2023-01-27,36.2,18
2023-01-27,22.7,13
2023-01-27,23.7,10
2023-01-27,35.1,16
2023-01-27,26.8,9
2023-01-27,38.5,29
2023-01-28,21.7,8
2023-01-28,21.0,15
2023-01-28,28.8,21
2023-01-28,37.9,20
2023-01-28,35.4,27
2023-01-28,39.9,26
2023-01-28,28.6,10
2023-01-28,38.9,17
2023-01-28,30.0,14
2023-01-28,21.2,0
2023-01-29,36.1,18
2023-01-29,29.0,13
2023-01-29,26.9,18
2023-01-29,33.0,10
2023-01-29,34.9,15
2023-01-29,30.8,11
2023-01-29,30.7,14
2023-01-29,21.0,2
2023-01-29,30.2,14
2023-01-29,20.9,5
2023-01-30,31.0,13
2023-01-30,38.9,26
2023-01-30,26.7,17
2023-01-30,31.2,9
2023-01-30,20.0,16
2023-01-30,34.0,11
2023-01-30,28.5,15
2023-01-30,35.0,23
2023-01-30,35.8,21
2023-01-30,20.3,8
2023-01-31,29.6,21
2023-01-31,26.6,9
2023-01-31,31.8,16
2023-01-31,24.6,5
2023-01-31,28.5,9
2023-01-31,30.2,9
2023-01-31,20.8,10
2023-01-31,30.6,12
2023-01-31,33.0,10
2023-01-31,21.3,9
2023-02-01,40.0,23
2023-02-01,30.6,13
2023-02-01,30.7,11
2023-02-01,37.2,25
2023-02-01,27.8,22
2023-02-01,36.8,11
2023-02-01,21.8,11
2023-02-01,26.2,6
2023-02-01,28.4,1
2023-02-01,37.8,19
2023-02-02,25.0,15
2023-02-02,34.9,20
2023-02-02,34.1,21
2023-02-02,21.2,5
2023-02-02,35.3,28
2023-02-02,27.0,10
2023-02-02,29.5,16
2023-02-02,38.6,31
2023-02-02,26.2,12
2023-02-02,38.0,19
2023-02-03,33.7,26
2023-02-03,26.5,17
2023-02-03,31.5,12
2023-02-03,38.6,18
2023-02-03,25.8,11
2023-02-03,30.5,14
2023-02-03,34.8,30
2023-02-03,38.1,18
2023-02-03,30.7,13
2023-02-03,26.8,14
2023-02-04,30.5,17
2023-02-04,25.4,5
2023-02-04,24.1,11
2023-02-04,32.4,13
2023-02-04,33.1,16
2023-02-04,24.5,6
2023-02-04,20.6,5
2023-02-04,39.1,20
2023-02-04,32.8,9
2023-02-04,33.2,11
2023-02-05,23.3,5
2023-02-05,27.3,13
2023-02-05,34.1,16
2023-02-05,35.9,24
2023-02-05,37.8,21
2023-02-05,35.2,22
2023-02-05,29.0,12
2023-02-05,35.1,22
2023-02-05,37.5,22
2023-02-05,22.9,15
2023-02-06,36.1,24
2023-02-06,27.5,14
2023-02-06,23.3,8
2023-02-06,23.6,19
2023-02-06,22.6,17
2023-02-06,21.4,7
2023-02-06,26.5,9
2023-02-06,32.5,17
2023-02-06,26.9,8
2023-02-06,22.3,4
2023-02-07,39.5,34
2023-02-07,29.4,9
2023-02-07,24.0,14
2023-02-07,32.5,10
2023-02-07,25.1,6
2023-02-07,26.5,10
2023-02-07,20.7,0
2023-02-07,29.7,10
2023-02-07,32.1,13
2023-02-07,29.0,18
2023-02-08,37.2,32
2023-02-08,32.8,8
2023-02-08,23.9,9
2023-02-08,33.4,21
2023-02-08,39.1,15
2023-02-08,34.0,20
2023-02-08,29.4,13
2023-02-08,28.4,14
2023-02-08,22.3,9
2023-02-08,36.1,21
2023-02-09,20.7,4
2023-02-09,24.6,5
2023-02-09,36.5,22
2023-02-09,30.3,14
2023-02-09,35.9,15
2023-02-09,34.0,26
2023-02-09,20.1,8
2023-02-09,36.7,24
2023-02-09,36.7,22
2023-02-09,34.8,27
2023-02-10,23.4,17
2023-02-10,32.1,22
2023-02-10,37.5,13
2023-02-10,31.2,18
2023-02-10,32.2,28
2023-02-10,24.1,16
2023-02-10,31.8,16
2023-02-10,31.5,18
2023-02-10,23.7,7
2023-02-10,38.2,23
2023-02-11,28.0,12
2023-02-11,29.9,20
2023-02-11,39.8,30
2023-02-11,24.1,5
2023-02-11,27.7,21
2023-02-11,32.3,21
2023-02-11,31.3,13
2023-02-11,26.0,4
2023-02-11,36.3,15
2023-02-11,23.6,18
2023-02-12,35.6,20
2023-02-12,32.7,17
2023-02-12,22.6,4
2023-02-12,39.3,21
2023-02-12,24.2,10
2023-02-12,24.2,15
2023-02-12,25.7,6
2023-02-12,20.8,10
2023-02-12,32.7,18
2023-02-12,26.8,7
2023-02-13,27.1,10
2023-02-13,25.5,15
2023-02-13,36.4,16
2023-02-13,24.1,5
2023-02-13,32.4,23
2023-02-13,29.2,19
2023-02-13,34.7,22
2023-02-13,34.6,24
2023-02-13,20.7,0
2023-02-13,36.9,31
2023-02-14,22.4,2
2023-02-14,33.8,16
2023-02-14,24.6,11
2023-02-14,37.4,16
2023-02-14,21.1,1
2023-02-14,30.7,12
2023-02-14,22.7,7
2023-02-14,20.0,5
2023-02-14,38.7,22
2023-02-14,20.8,1
2023-02-15,22.2,14
2023-02-15,25.4,0
2023-02-15,39.1,25
2023-02-15,20.4,6
2023-02-15,20.4,12
2023-02-15,24.6,10
2023-02-15,30.5,19
2023-02-15,28.8,20
2023-02-15,31.7,17
2023-02-15,26.5,5
2023-02-16,31.9,15
2023-02-16,27.6,19
2023-02-16,34.0,30
2023-02-16,23.7,7
2023-02-16,30.0,14
2023-02-16,27.5,27
2023-02-16,39.7,20
2023-02-16,28.9,5
2023-02-16,25.7,15
2023-02-16,25.0,10
2023-02-17,37.4,21
2023-02-17,33.8,19
2023-02-17,22.2,9
2023-02-17,37.6,19
2023-02-17,23.8,9
2023-02-17,24.8,5
2023-02-17,33.1,21
2023-02-17,39.5,24
2023-02-17,29.4,12
2023-02-17,34.0,22
2023-02-18,30.3,9
2023-02-18,20.8,0
2023-02-18,24.4,3
2023-02-18,21.5,6
2023-02-18,32.8,15
2023-02-18,35.9,25
2023-02-18,39.5,36
2023-02-18,30.4,17
2023-02-18,37.6,16
2023-02-18,31.8,15
2023-02-19,37.1,24
2023-02-19,26.1,23
2023-02-19,31.7,26
2023-02-19,25.5,10
2023-02-19,36.6,13
2023-02-19,37.3,16
2023-02-19,20.5,4
2023-02-19,38.2,21
2023-02-19,22.9,9
2023-02-19,31.4,16
2023-02-20,26.8,7
2023-02-20,31.9,18
2023-02-20,38.3,30
2023-02-20,33.2,13
2023-02-20,32.3,18
2023-02-20,37.8,28
2023-02-20,31.7,15
2023-02-20,34.9,19
2023-02-20,26.8,14
2023-02-20,24.3,20
2023-02-21,34.9,19
2023-02-21,26.4,10
2023-02-21,32.6,22
2023-02-21,39.1,22
2023-02-21,30.8,16
2023-02-21,20.4,4
2023-02-21,35.5,19
2023-02-21,36.2,18
2023-02-21,29.4,9
2023-02-21,26.5,0
2023-02-22,23.8,4
2023-02-22,30.3,12
2023-02-22,35.7,17
2023-02-22,24.4,14
2023-02-22,22.2,7
2023-02-22,37.1,14
2023-02-22,30.2,17
2023-02-22,38.0,26
2023-02-22,36.2,20
2023-02-22,26.3,7
2023-02-23,38.4,26
2023-02-23,27.4,22
2023-02-23,24.4,20
2023-02-23,27.3,8
2023-02-23,23.2,11
2023-02-23,35.4,19
2023-02-23,39.0,28
2023-02-23,38.0,17
2023-02-23,31.0,14
2023-02-23,33.0,14
2023-02-24,33.7,19
2023-02-24,38.0,18
2023-02-24,37.1,30
2023-02-24,29.5,18
2023-02-24,38.5,20
2023-02-24,39.0,18
2023-02-24,28.4,6
2023-02-24,39.7,17
2023-02-24,28.0,14
2023-02-24,38.9,23
2023-02-25,29.0,12
2023-02-25,26.7,18
2023-02-25,32.9,19
2023-02-25,34.0,18
2023-02-25,35.9,28
2023-02-25,31.9,6
2023-02-25,37.4,15
2023-02-25,31.3,25
2023-02-25,26.9,4
2023-02-25,38.6,26
2023-02-26,38.2,23
2023-02-26,28.8,8
2023-02-26,29.4,21
2023-02-26,34.0,12
2023-02-26,33.8,28
2023-02-26,34.4,24
2023-02-26,24.1,10
2023-02-26,36.1,21
2023-02-26,32.4,21
2023-02-26,35.6,21
2023-02-27,37.0,30
2023-02-27,32.4,23
2023-02-27,26.6,13
2023-02-27,29.0,17
2023-02-27,30.2,14
2023-02-27,33.3,14
2023-02-27,38.2,20
2023-02-27,35.2,17
2023-02-27,29.6,16
2023-02-27,25.5,6
2023-02-28,35.4,22
2023-02-28,32.0,17
2023-02-28,31.3,20
2023-02-28,33.8,24
2023-02-28,36.4,28
2023-02-28,26.9,10
2023-02-28,28.3,15
2023-02-28,32.7,16
2023-02-28,32.8,24
2023-02-28,34.1,22
2023-03-01,39.2,15
2023-03-01,31.1,15
2023-03-01,31.4,16
2023-03-01,28.2,11
2023-03-01,24.8,6
2023-03-01,36.9,27
2023-03-01,26.5,13
2023-03-01,38.1,21
2023-03-01,31.2,16
2023-03-01,35.6,20
2023-03-02,38.6,31
2023-03-02,36.5,26
2023-03-02,25.1,13
2023-03-02,29.9,14
2023-03-02,21.9,3
2023-03-02,27.0,12
2023-03-02,22.7,6
2023-03-02,39.5,23
2023-03-02,30.4,12
2023-03-02,37.1,22
2023-03-03,38.6,20
2023-03-03,26.2,12
2023-03-03,21.0,7
2023-03-03,39.9,24
2023-03-03,27.5,6
2023-03-03,39.6,26
2023-03-03,21.1,6
2023-03-03,38.9,14
2023-03-03,29.1,18
2023-03-03,35.0,24
2023-03-04,27.9,10
2023-03-04,35.1,21
2023-03-04,24.4,9
2023-03-04,35.8,20
2023-03-04,22.6,11
2023-03-04,37.4,23
2023-03-04,28.7,11
2023-03-04,33.1,7
2023-03-04,36.5,17
2023-03-04,22.3,11
2023-03-05,39.4,27
2023-03-05,25.3,8
2023-03-05,23.6,12
2023-03-05,22.6,5
2023-03-05,34.2,23
2023-03-05,39.1,19
2023-03-05,28.9,8
2023-03-05,22.8,8
2023-03-05,31.2,19
2023-03-05,37.4,17
2023-03-06,28.4,8
2023-03-06,30.5,27
2023-03-06,34.6,21
2023-03-06,26.2,21
2023-03-06,22.5,0
2023-03-06,36.6,20
2023-03-06,22.9,1
2023-03-06,20.6,12
2023-03-06,29.0,17
2023-03-06,32.1,21
2023-03-07,21.2,4
2023-03-07,24.6,9
2023-03-07,30.8,1
2023-03-07,35.4,25
2023-03-07,31.4,9
2023-03-07,34.9,22
2023-03-07,30.3,18
2023-03-07,25.2,8
2023-03-07,34.4,8
2023-03-07,28.6,19
2023-03-08,38.6,17
2023-03-08,38.8,30
2023-03-08,27.7,13
2023-03-08,24.8,2
2023-03-08,37.0,32
2023-03-08,38.8,29
2023-03-08,31.6,16
2023-03-08,36.0,16
2023-03-08,37.5,26
2023-03-08,20.9,0
2023-03-09,37.7,11
2023-03-09,38.4,21
2023-03-09,25.1,6
2023-03-09,29.3,8
2023-03-09,36.1,18
2023-03-09,24.6,0
2023-03-09,27.3,11
2023-03-09,33.2,7
2023-03-09,22.9,4
2023-03-09,22.6,11
2023-03-10,36.1,16
2023-03-10,34.6,17
2023-03-10,26.2,5
2023-03-10,39.6,11
2023-03-10,33.3,29
2023-03-10,32.8,15
2023-03-10,29.5,23
2023-03-10,35.2,26
2023-03-10,24.6,9
2023-03-10,25.9,0
2023-03-11,22.3,5
2023-03-11,39.3,23
2023-03-11,25.3,6
2023-03-11,36.9,28
2023-03-11,28.4,17
2023-03-11,35.4,19
2023-03-11,32.1,23
2023-03-11,22.7,14
2023-03-11,25.0,8
2023-03-11,22.4,6
2023-03-12,30.6,17
2023-03-12,20.2,6
2023-03-12,29.5,16
2023-03-12,28.2,11
2023-03-12,24.6,11
2023-03-12,30.7,6
2023-03-12,27.8,17
2023-03-12,20.0,1
2023-03-12,23.5,12
2023-03-12,37.7,18
2023-03-13,36.5,16
2023-03-13,27.8,2
2023-03-13,37.6,22
2023-03-13,29.5,12
2023-03-13,39.9,21
2023-03-13,34.3,12
2023-03-13,28.5,8
2023-03-13,23.2,8
2023-03-13,29.2,15
2023-03-13,33.9,21
2023-03-14,22.5,1
2023-03-14,36.8,20
2023-03-14,21.9,3
2023-03-14,39.8,26
2023-03-14,32.8,23
2023-03-14,22.3,16
2023-03-14,37.2,26
2023-03-14,35.5,14
2023-03-14,29.0,10
2023-03-14,26.8,8
2023-03-15,36.5,20
2023-03-15,22.3,8
2023-03-15,35.7,22
2023-03-15,37.6,32
2023-03-15,32.6,24
2023-03-15,39.2,32
2023-03-15,32.8,19
2023-03-15,23.6,14
2023-03-15,32.6,19
2023-03-15,35.2,27
2023-03-16,23.7,10
2023-03-16,25.9,16
2023-03-16,22.6,17
2023-03-16,25.0,8
2023-03-16,23.4,5
2023-03-16,26.6,8
2023-03-16,25.3,0
2023-03-16,20.8,0
2023-03-16,26.9,8
2023-03-16,37.6,22
2023-03-17,37.9,20
2023-03-17,23.5,20
2023-03-17,32.2,10
2023-03-17,39.1,24
2023-03-17,39.2,24
2023-03-17,28.6,16
2023-03-17,22.5,9
2023-03-17,29.3,15
2023-03-17,20.3,9
2023-03-17,28.7,13
2023-03-18,25.8,22
2023-03-18,38.6,17
2023-03-18,27.9,14
2023-03-18,35.0,23
2023-03-18,37.5,31
2023-03-18,24.9,0
2023-03-18,37.9,27
2023-03-18,38.1,25
2023-03-18,37.1,17
2023-03-18,35.4,21
2023-03-19,32.2,6
2023-03-19,21.3,10
2023-03-19,29.3,18
2023-03-19,23.7,10
2023-03-19,21.0,5
2023-03-19,39.4,28
2023-03-19,33.0,27
2023-03-19,26.1,6
2023-03-19,29.8,19
2023-03-19,30.4,16
2023-03-20,31.4,15
2023-03-20,32.7,13
2023-03-20,37.8,27
2023-03-20,32.3,28
2023-03-20,36.3,15
2023-03-20,20.8,4
2023-03-20,39.9,31
2023-03-20,33.1,15
2023-03-20,31.5,9
2023-03-20,27.0,11
2023-03-21,26.5,13
2023-03-21,39.5,25
2023-03-21,26.2,9
2023-03-21,30.7,16
2023-03-21,26.2,10
2023-03-21,21.7,2
2023-03-21,24.0,9
2023-03-21,37.1,26
2023-03-21,23.2,9
2023-03-21,24.9,3
2023-03-22,26.8,5
2023-03-22,29.6,12
2023-03-22,34.4,21
2023-03-22,34.4,12
2023-03-22,31.8,25
2023-03-22,38.3,21
2023-03-22,20.4,5
2023-03-22,35.4,16
2023-03-22,32.8,14
2023-03-22,33.6,13
2023-03-23,23.9,3
2023-03-23,31.7,14
2023-03-23,35.3,19
2023-03-23,26.8,9
2023-03-23,20.8,6
2023-03-23,20.3,6
2023-03-23,21.8,3
2023-03-23,29.5,18
2023-03-23,20.5,8
2023-03-23,27.0,13
2023-03-24,28.9,15
2023-03-24,36.7,22
2023-03-24,34.8,22
2023-03-24,21.9,8
2023-03-24,25.5,8
2023-03-24,27.5,12
2023-03-24,35.6,14
2023-03-24,36.9,22
2023-03-24,37.3,25
2023-03-24,30.9,17
2023-03-25,27.2,7
2023-03-25,33.5,28
2023-03-25,30.0,15
2023-03-25,33.5,21
2023-03-25,38.8,23
2023-03-25,33.6,22
2023-03-25,31.7,24
2023-03-25,24.0,9
2023-03-25,26.1,9
2023-03-25,39.4,23
2023-03-26,39.2,29
2023-03-26,25.2,10
2023-03-26,30.2,17
2023-03-26,37.3,29
2023-03-26,36.9,14
2023-03-26,25.7,17
2023-03-26,22.2,5
2023-03-26,31.4,15
2023-03-26,25.3,10
2023-03-26,26.4,3
2023-03-27,20.8,8
2023-03-27,27.0,14
2023-03-27,22.7,6
2023-03-27,26.7,22
2023-03-27,22.0,7
2023-03-27,32.0,13
2023-03-27,26.5,8
2023-03-27,23.7,6
2023-03-27,29.2,20
2023-03-27,38.1,23
2023-03-28,33.9,17
2023-03-28,33.2,17
2023-03-28,22.2,4
2023-03-28,30.4,17
2023-03-28,28.9,13
2023-03-28,24.8,9
2023-03-28,32.1,19
2023-03-28,20.9,9
2023-03-28,36.0,15
2023-03-28,29.7,16
2023-03-29,35.5,17
2023-03-29,22.7,3
2023-03-29,25.2,12
2023-03-29,23.5,3
2023-03-29,36.9,23
2023-03-29,34.6,27
2023-03-29,21.9,2
2023-03-29,36.7,24
2023-03-29,39.0,16
2023-03-29,22.9,2
2023-03-30,29.4,22
2023-03-30,39.9,24
2023-03-30,37.5,24
2023-03-30,33.1,17
2023-03-30,37.4,21
2023-03-30,27.5,14
2023-03-30,31.3,19
2023-03-30,22.8,18
2023-03-30,37.3,27
2023-03-30,20.4,10
2023-03-31,30.8,12
2023-03-31,26.6,4
2023-03-31,32.0,12
2023-03-31,33.5,10
2023-03-31,24.4,5
2023-03-31,39.5,27
2023-03-31,27.1,11
2023-03-31,29.3,12
2023-03-31,29.0,17
2023-03-31,20.1,2
2023-04-01,39.1,36
2023-04-01,26.7,10
2023-04-01,30.1,3
2023-04-01,35.8,13
2023-04-01,23.4,11
2023-04-01,34.8,13
2023-04-01,21.4,8
2023-04-01,32.8,20
2023-04-01,34.8,16
2023-04-01,34.3,15
2023-04-02,26.6,7
2023-04-02,37.6,29
2023-04-02,37.0,18
2023-04-02,31.3,11
2023-04-02,37.1,25
2023-04-02,32.5,19
2023-04-02,27.1,12
2023-04-02,37.6,24
2023-04-02,26.8,8
2023-04-02,39.1,24
2023-04-03,32.1,17
2023-04-03,28.8,13
2023-04-03,39.0,19
2023-04-03,33.1,21
2023-04-03,21.8,0
2023-04-03,23.5,19
2023-04-03,32.4,13
2023-04-03,35.0,15
2023-04-03,24.3,3
2023-04-03,34.2,24
2023-04-04,32.1,18
2023-04-04,25.5,12
2023-04-04,28.7,12
2023-04-04,20.9,2
2023-04-04,36.6,25
2023-04-04,34.6,17
2023-04-04,27.0,11
2023-04-04,27.9,8
2023-04-04,22.5,6
2023-04-04,34.4,17
2023-04-05,24.5,1
2023-04-05,29.4,14
2023-04-05,21.3,10
2023-04-05,31.1,14
2023-04-05,33.1,18
2023-04-05,39.8,21
2023-04-05,22.2,7
2023-04-05,36.9,20
2023-04-05,39.4,16
2023-04-05,31.3,17
2023-04-06,37.2,23
2023-04-06,39.6,31
2023-04-06,30.4,14
2023-04-06,20.4,3
2023-04-06,36.3,21
2023-04-06,24.7,9
2023-04-06,27.9,9
2023-04-06,24.0,6
2023-04-06,31.5,20
2023-04-06,37.2,21
2023-04-07,30.9,10
2023-04-07,26.6,11
2023-04-07,39.8,26
2023-04-07,22.2,5
2023-04-07,30.0,18
2023-04-07,20.5,0
2023-04-07,36.3,18
2023-04-07,23.9,13
2023-04-07,27.4,17
2023-04-07,36.6,25
2023-04-08,21.6,11
2023-04-08,34.1,21
2023-04-08,36.1,15
2023-04-08,23.8,11
2023-04-08,34.5,23
2023-04-08,27.7,18
2023-04-08,24.7,18
2023-04-08,38.0,29
2023-04-08,35.8,23
2023-04-08,31.1,12
2023-04-09,22.6,7
2023-04-09,28.7,17
2023-04-09,29.6,13
2023-04-09,32.7,22
2023-04-09,31.3,17
2023-04-09,30.8,6
2023-04-09,30.8,19
2023-04-09,23.4,11
2023-04-09,32.2,22
2023-04-09,22.9,14
2023-04-10,36.9,21
2023-04-10,26.3,13
2023-04-10,22.0,5
2023-04-10,25.3,13
2023-04-10,26.7,5
2023-04-10,22.1,4
2023-04-10,20.4,9
2023-04-10,30.0,12
2023-04-10,32.4,19
2023-04-10,39.6,25
2023-04-11,24.0,15
2023-04-11,25.8,13
2023-04-11,22.0,8
2023-04-11,25.1,8
2023-04-11,27.1,6
2023-04-11,22.7,6
2023-04-11,37.5,24
2023-04-11,20.4,4
2023-04-11,21.6,6
2023-04-11,37.0,23
2023-04-12,29.3,13
2023-04-12,37.2,13
2023-04-12,33.7,9
2023-04-12,21.8,3
2023-04-12,30.8,16
2023-04-12,35.9,19
2023-04-12,34.4,16
2023-04-12,29.0,11
2023-04-12,23.0,14
2023-04-12,31.2,7
2023-04-13,26.4,13
2023-04-13,37.0,23
2023-04-13,37.9,29
2023-04-13,30.4,20
2023-04-13,36.3,18
2023-04-13,34.0,25
2023-04-13,35.5,21
2023-04-13,39.9,18
2023-04-13,40.0,23
2023-04-13,29.7,21
2023-04-14,24.6,4
2023-04-14,20.4,13
2023-04-14,26.7,8
2023-04-14,28.1,13
2023-04-14,32.2,19
2023-04-14,39.3,20
2023-04-14,37.4,14
2023-04-14,28.8,13
2023-04-14,35.5,18
2023-04-14,22.6,0
2023-04-15,24.3,12
2023-04-15,22.2,12
2023-04-15,23.8,0
2023-04-15,37.5,28
2023-04-15,33.8,14
2023-04-15,27.8,18
2023-04-15,32.8,11
2023-04-15,25.8,11
2023-04-15,36.6,13
2023-04-15,21.2,0
2023-04-16,22.4,9
2023-04-16,20.6,0
2023-04-16,31.8,15
2023-04-16,37.9,20
2023-04-16,33.2,22
2023-04-16,39.6,25
2023-04-16,22.5,3
2023-04-16,30.2,11
2023-04-16,30.6,13
2023-04-16,23.4,8
2023-04-17,35.9,26
2023-04-17,37.4,20
2023-04-17,29.9,10
2023-04-17,33.2,19
2023-04-17,39.5,15
2023-04-17,35.7,25
2023-04-17,39.7,25
2023-04-17,37.5,23
2023-04-17,36.5,16
2023-04-17,20.5,5
2023-04-18,32.2,14
2023-04-18,32.8,11
2023-04-18,24.2,12
2023-04-18,29.5,18
